Glottolog_code,Nearest_glottolog_code,Glottolog_name,Taxonomy,Name,Major_group,Major_group_CB2018,Subgroup,Family,PN_C_group,PN_W_group,PN_NE_group,PN_SE_group,BandA2012_Taxon_label,Bowern_285_taxon_label,Bowern_307_taxon_label,Taxon_equivalence,Longitude,Latitude,Attestation,Attestation_source,Inherit_vocab_from,Reason_for_inheritance_choice,lexicon_source,lexicon_access,lexicon_access_reference,lexicon_uncertainty,segment_uncertainty,CHIRILA_source,o2p_source,o2p_comments,p2x_source,p2x_comments,Vocab_ID,Vocab_attestation,Vocab_workstage,AusPhonAlts_ID,Grammar_Harvester_files,Alts_source,Alts_to_do_next,Inventory_source,Inventory_source_identifier,Inv_source_id,Invenotry_is_tentative,Inventory_to_do_next,Inventory_my_modifications,Apicals,Laminals,Glottal,Obstruents,Missing_laterals,BhDhGh,Vowels,Vowel_lengths,Add_extra,Remove_extra,Rounded_extra,Inventory_PHOIBLE_notes
0000gonbudj,None,,(Unknown) | Gonbudj,Gonbudj,Non-PN,Non-PN,Isolate_Gonbudj,Isolate_Gonbudj,_other,_other,_other,_other,,,,,132.178249,-12.41299,Unattested,"Harvey 2002:14 ""This language is extinct and nothing is known of it.""",limi1242,Geographic proximity,,,,,,,,,,,,-2 doesn't exist,-2 doesn't exist,,,,,<unattested>,,,,,,,,,,,,,,,,,
0000ngarduk,None,,(Unknown) | Ngarduk,Ngarduk,Non-PN,Non-PN,Isolate_Ngarduk,Isolate_Ngarduk,_other,_other,_other,_other,,,,,132.604456,-12.179279,Unattested,"Harvey 2002:14 ""This language is extinct and nothing is known of it. Place names in Ngaduk territory are generally compatible with the phonotactic patterns of Gaagudju.""",gaga1251,Geographic proximity; phonotactic similarity of place names (Harvey 2002:14),,,,,,,,,,,,-2 doesn't exist,-2 doesn't exist,,,,,<unattested>,,,,,,,,,,,,,,,,,
buna1275,,Bunaba,Bunuban | Bunuban | Bunuba,Bunuba,Non-PN,Non-PN,Bunuban,Bunuban,_other,_other,_other,_other,,,,NPN,125.708644,-17.701102,,,self,,kimberley_language_resource_centre_bunuba_2010,online,https://www.klrc.org.au/dictionary/bunuba/lexicon/01.htm,,,CHIRILA/not_released/bundict,rumsey_bunuba_2000,,,,89,3 full data,8 to check,103,Bunuba_62949_augmented_Rumsey_2000.xml,Rumsey 2000,,Rumsey 2000,rumsey_bunuba_2000,62949,FALSE,,,2,2,0,1,D,0,3,1,V_LO_NONFR_LONG;GLIDE_DENT,0,,
goon1238,,Gooniyandi,Bunuban | Bunuban | Gooniyandi,Gooniyandi,Non-PN,Non-PN,Bunuban,Bunuban,_other,_other,_other,_other,,,,NPN,126.386705,-18.502659,,,self,,kimberley_language_resource_centre_gooniyandi_1993,published,,,,CHIRILA/not_released/goondict,mcgregor_functional_1990,,,,838,3 full data,8 to check,188,Gooniyandi_98977_augmented_McGregor_1990.xml,McGregor 1990,,McGregor 1990,mcgregor_functional_1990,98977,FALSE,,,2,2,0,1,D,0,3,1,V_LO_NONFR_LONG,0,,
madn1237,,Madngele,Daly-Eastern | Daly | Matngele,Matngele,Non-PN,Non-PN,Daly-Eastern,Daly-Eastern,_other,_other,_other,_other,,,,,130.444642,-13.800064,,,self,,zandvoort_grammar_1999,online,http://dalylanguages.org/files/zandvoort_matngele1999.pdf,,,,zandvoort_grammar_1999,,,,923,3 full data,8 to check,314,Matngele_126849_augmented_Zandvoort_1999.xml,Zandvoort 1999,,Zandvoort 1999,zandvoort_grammar_1999,126849,FALSE,,,2,PAL,0,1,0,0,5,1,V_HI_CENTR_RND,V_MID_BK,,
kamu1258,,Kamu,Daly-Eastern | Kamu,Kamu,Non-PN,Non-PN,Daly-Eastern,Daly-Eastern,_other,_other,_other,_other,,,,,130.77766,-13.616519,,,madn1237,Most closely related (Tryon 1974:290),,,,,,,,,,,,3 full data,1 to acquire,,,,Get from AIATSIS: Harvey 1990ms A sketch grammar of Gamu,Harvey 1990ms A sketch grammar of Gamu,,,,Get from AIATSIS: Harvey 1990ms A sketch grammar of Gamu,,,,,,,,,,,,,
murr1259,,Murrinhpatha,Daly-Southern | Murrinh-Patha,Murrinh-patha,Non-PN,Non-PN,Daly-Southern,Daly-Southern,_other,_other,_other,_other,,,,,130.07151,-14.674081,,,self,,street_introduction_1987,published,,,,,street_introduction_1987,,,,1003,3 full data,8 to check,311,Murrinh-Patha_413034_augmented_Mansfield_2014.xml,Mansfield 2014,,Mansfield 2014,mansfield_polysynthetic_2014,413034,FALSE,,,2,2,0,2,PD,0,3,1,V_MID_FR,0,,
ngan1298,,Ngangi-Tjemerri,Daly-Southern | Ngan'gityemerri,Ngan'gityemerri,Non-PN,Non-PN,Daly-Southern,Daly-Southern,_other,_other,_other,_other,,,,,130.382837,-14.181436,,,murr1258,Most closely related (Green 2003),,,,,,,,,,,,3 full data,1 to acquire,,Ngangityemerri_25578_augmented_Reid_1990.xml,"Reid 1982,1990",,Reid 1990,reid_ngangityemerri:_1990,25578,FALSE,,,1,PAL,0,2,P,0,3,1,V_MID_FR;FRIC_API;FRIC_PAL_UNV;FRIC_VEL_UNV;FRIC_LAB_UNV,OBS_PAL_LEN;OBS_VEL_LEN,,
mari1417,,Marimanindji,Daly-Western | Bringen-Wagadj | Bringen | Marramaninyshi,Marramaninyshi,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,130.395078,-13.979288,,,self,,tryon_daly_1974,online,http://dx.doi.org/10.15144/PL-C32,tentative,,,tryon_daly_1974,,,,1020,2 tentative data,8 to check,,,,,Tryon 1974,tryon_daly_1974,2833,TRUE,,,2,PAL,0,1,P,0,3,1,V_MID_FR,0,,
mari1419,,Maringarr,Daly-Western | Bringen-Wagadj | Bringen | Marri Ngarr,Marringarr,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,129.893154,-14.163598,,,mari1417,Most closely related (Tryon 1974:290-291),,,,,,,,,,,,3 full data,1 to acquire,,,,,Nambatu&alia 2009,nambatu_marri_2009,61434,FALSE,,,2,2,0,2,P,0,3,1,FRIC_PAL;FRIC_RET;FRIC_DENT;FRIC_LAB;V_MID_FR,OBS_DENT_LEN,,
mari1424,,Marithiel,Daly-Western | Bringen-Wagadj | Bringen | Marrithiyel,Marrithiyel,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,129.982622,-13.871466,,,mari1417,Most closely related (Tryon 1974:290-291),,,,,,,,,,,,3 full data,1 to acquire,152,Marrithiyel_22284_augmented_Green_1989.xml,Green 1981,,Green 1989,green_marrithiyel:_1989,22284,FALSE,,,2,2,0,2,RPD,0,3,1,V_MID_FR;FRIC_LAB_UNV,OBS_RET_FORT;NAS_RET;OBS_DENT_FORT;NAS_DENT,,
mart1254,,Marti Ke,Daly-Western | Bringen-Wagadj | Bringen | Marti Ke,Marti Ke,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,129.759651,-14.068399,,,mari1417,Most closely related: Brinken,,,,,,,,,,,,-1 exists but unavailable,-1 exists but unavailable,,,,,Nambatu&alia 2009,nambatu_marri_2009,61434,FALSE,,,2,2,0,2,PD,0,3,1,FRIC_PAL;FRIC_RET;FRIC_DENT;FRIC_LAB;V_MID_FR,OBS_DENT_LEN,,
wadj1254,,Wadjiginy,Daly-Western | Bringen-Wagadj | Wagadj | Patjtjamalh,Patjtjamalh,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,NPN,130.243534,-13.204044,,,self,,ford_batjamalh:_1997,published,,,,,ford_phonology_1990,,,,856,3 full data,8 to check,148,Bachamal_119805_augmented_Ford_1990.xml,Ford 1990,,Ford 1990,ford_phonology_1990,119805,FALSE,,,2,PAL,0,1,0,0,3,1,V_MID_FR;V_MID_FR_RND,0,,
giyu1238,,Giyug,Daly-Western | Giyug,Giyug,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,130.03439,-13.167802,Unattested,Ford 1990:9 (It was not mutually intelligible with Batjamalh),wadj1254,Geographic proximity,,,,,,,,,,,,-2 doesn't exist,-2 doesn't exist,,,,,Not attested,,,,,,,,,,,,,,,,,
amii1238,,Ami,Daly-Western | Marranj | Emmi,Emmi,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,NPN,130.115848,-13.639617,,,self,,ford_description_1998,published,,,,,ford_description_1998,,,,996,3 full data,8 to check,149,Emmi_42990_augmented_Ford_1998.xml,Ford 1998,,Ford 1998,ford_description_1998,42990,FALSE,,,2,2,0,2,R,0,5,1,FRIC_LAB;FRIC_RET;V_MID_CENTR_RND,V_MID_BK,,
mull1237,,Mullukmulluk,Daly-Western? | Daly-Northern | Malak Malak,Malak-Malak,Non-PN,Non-PN,Daly-Western,Daly-Western,_other,_other,_other,_other,,,,,130.482468,-13.566356,,,madn1237,200 word basic vocab similarity (Daly 200words binary.nexus),,,,,,,,,,,,3 full data,1 to acquire,26,MalakMalak_305194_augmented_Birk_1975.xml,Birk 1975,,Birk 1975,birk_phonology_1975,161795,FALSE,,,1,PAL,0,1,0,0,3,1,V_MID_FR;V_MID_CENTR,0,,
lara1258,,Laragia,Darwin Region | Larrakiya,Larrakia,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,130.884252,-12.592844,,,self,,harvey_larrakia_2004,published,,,,,harvey_larrakia_2004,,,,925,3 full data,8 to check,269,,Capell 1984,,Capell 1984,capell_laragia_1984,157115,FALSE,,,2,PAL,0,1,0,0,5,1,FRIC_LAB;V_MID_CENTR,0,,
nucl1327,,Limilngan,Darwin Region | Limilngan | Limilngan,Limilngan,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,131.748617,-12.498325,,,self,,harvey_grammar_2001,published,,,,,harvey_grammar_2001,,,,926,3 full data,8 to check,156,"Limilngan_153963_augmented_Harvey_2001.xml, Limilngan_300875_augmented_Harvey_2001.xml",Harvey 2001,,Harvey 2001,harvey_grammar_2001,153963,FALSE,,,2,PAL,0,2,0,0,3,1,0,0,,
wuln1239,,Wulna,Darwin Region | Limilngan | Wuna,Wulna,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,131.37382,-12.527504,"Harvey 2001:5 ""Gavan Breen did some work on Wuna with Jack in 1980. In combination with Wuna materials supplied to Ken Hale in 1959 by Willie Dayal, and earlier sources, there is sufficient information to provide an outline of the basic phonological and morphological structures of Wuna.""",,limi1242,Most closely related (Harvey 2001:5-6),,,,,,,,,,,,2 tentative data,1 to acquire,,,,,none (Grimwade 1975),,,,,,,,,,,,,,,,,
0000bugurnidja,umbu1235,Bugurnidja,Darwin Region | Umbugarlic | Bugurnidja,Bugurnidja,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,132.762745,-12.684162,Unattested,"Harvey 2002:14 ""It also appears that [Umbugarla] may have included Bugumidja (Evans: p.c.).""",umbu1235,Most closely related (Harvey 2002:14),,,,,,,,,,,,-2 doesn't exist,-2 doesn't exist,,,,,<unattested>,,,,,,,,,,,,,,,,,
ngur1260,,Ngurmbur,Darwin Region | Umbugarlic | Ngomburr,Ngomburr,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,132.148202,-12.718584,Unattested,"Harvey 2002:14 ""This language [Umbugarla] includes Umbugarla proper and Ngombur.""",umbu1235,Most closely related (Harvey 2002:14),,,,,,,,,,,,-2 doesn't exist,-2 doesn't exist,,,Not attested,,Not attested,,,,,,,,,,,,,,,,,
umbu1235,,Umbugarla,Darwin Region | Umbugarlic | Umbugarla,Umbugarla,Non-PN,Non-PN,Darwin,Darwin,_other,_other,_other,_other,,,,,132.390501,-12.949606,,,self,,,,,,,,,,,,,3 full data,6 to ingest,250,Umbugarla_120662_augmented_Davies_1989.xml,Davies 1989,,Davies 1989,davies_umbugarla:_1989,120662,FALSE,,,2,PAL,0,1,0,0,3,2,V_MID_FR;V_MID_BK,0,,
gara1269,,Garrwa,Garrwan | Garrwan | Garrwa,Garrwa,Non-PN,Non-PN,Garrwan,Garrwan,_other,_other,_other,_other,,,,NPN,137.121397,-16.639615,,,self,,furby_garawa_1993,not open in archive,http://catalogue.aiatsis.gov.au/client/en_AU/external/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:402290/one?qu=AILEC+0471&te=ILS,,,CHIRILA/not_released/ASEDA0471,mushin_grammar_2012,,,,1,3 full data,8 to check,277,Garrwa_314518_augmented_Mushin_2012.xml,Mushin 2012,,Mushin 2012,mushin_grammar_2012,314518,FALSE,,,1,PAL,0,1,0,0,3,1,0,0,,
wany1247,,Wanyi,Garrwan | Garrwan | Waanyi,Waanyi,Non-PN,Non-PN,Garrwan,Garrwan,_other,_other,_other,_other,,,,NPN,137.479327,-18.198094,,,self,,laughren_waanyi_2016,online,CHIRILA/v1/WaanyiDict,,,CHIRILA/v1/WaanyiDict,breen_wanyi_2003,,,,849,3 full data,8 to check,302,Wanyi_306396_augmented_Laughren_2003.xml,Laughren 2003,,Breen 2003,breen_wanyi_2003,468822,FALSE,,,1,PAL,0,1,0,0,3,2,0,0,,
kuni1269,,Kunindirri,Garrwan | Kunindirri,Kunindirri,Non-PN,Non-PN,Garrwan,Garrwan,_other,_other,_other,_other,,,,,136.60388,-17.634923,,,gara1269,,,,,,,,,,,,,-1 under 150w,-1 under 150w,,,,,Breen 2003,breen_wanyi_2003,468822,FALSE,,,1,PAL,0,1,0,0,3,1,0,0,,
erre1238,,Erre,Giimbiyu | Erre,Erre,Non-PN,Non-PN,Giimbiyu,Giimbiyu,_other,_other,_other,_other,,,,NPN,132.949648,-12.357651,,,self,,birch_first_2006,published,,,,CHIRILA/not_released/Giimbiyu compilation dictionary,campbell_sketch_2006,Double stops normalized as fortis.,,,12,3 full data,8 to check,267,Giimbiyu_32813_augmented_Campbell_2006.xml,Campbell 2006,,Campbell 2006,campbell_sketch_2006,32813,FALSE,,,2,PAL,0,1,0,0,3,1,V_MID_FR;V_MID_FR_RND;GLIDE_VEL,0,,
mang1382,,Mangerr,Giimbiyu | Mengerrdji,Mengerrdji,Non-PN,Non-PN,Giimbiyu,Giimbiyu,_other,_other,_other,_other,,,,NPN,132.925804,-12.153366,,,self,,birch_first_2006,published,,,,,campbell_sketch_2006,Double stops normalized as fortis.,,,621,3 full data,8 to check,268,Giimbiyu_32813_augmented_Campbell_2006.xml,Campbell 2006,,Campbell 2006,campbell_sketch_2006,32813,FALSE,,,2,PAL,0,1,0,0,3,1,V_MID_FR;V_MID_FR_RND;GLIDE_VEL,0,,
urni1239,,Urningangg,Giimbiyu | Urningangg,Urningangg,Non-PN,Non-PN,Giimbiyu,Giimbiyu,_other,_other,_other,_other,,,,,133.023963,-12.50036,,,self,,birch_first_2006,published,,,,CHIRILA/not_released/Giimbiyu compilation dictionary,campbell_sketch_2006,,,,934,3 full data,8 to check,266,Giimbiyu_32813_augmented_Campbell_2006.xml,Campbell 2006,,Campbell 2006,campbell_sketch_2006,32813,FALSE,,,2,PAL,0,1,0,0,3,1,V_MID_FR;V_MID_FR_RND;GLIDE_VEL,0,,
anin1240,,Anindilyakwa,Gunwinyguan | Anindilyakwa,Anindilyakwa,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,136.642547,-14.009015,,,mang1382,temp,,,,,,,,,,,CB3538,3 full data,6 to ingest,218,Enindhilyakwa_319123_augmented_Van-Egmond_2012.xml,van Egmond 2012,,van Egmond 2012,van_egmond_enindhilyakwa_2012,319123,FALSE,,/NC/ > /N+C/; /Cw/ > /C+w/; labiovelars >/ vel+lab/,2,2,0,1,0,0,3,1,V_MID_FR;V_MID_CENTR,V_HI_BK,OBS_VEL_NEUT;NAS_VEL,Prenasalized stops and labiovelars in van Egmond 2012 interpreted here as segment sequences.
ngal1292,,Ngalkbun,Gunwinyguan | Gunwinjgic | Dalabon,Dalabon,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,133.926314,-13.359975,,,self,,evans_first_2004,published,,,,CHIRILA/not_released/dal-pon,evans_first_2004,,,,81,3 full data,8 to check,,"Dalabon_314559_augmented_Cutfield_2011.xml, Dalabon_319256_augmented_Ponsonnet_2013.xml",Capell 1962,,Evans&alia 2008,evans_first_2004,4862,FALSE,,,2,PAL,1,2,P,0,5,1,V_HI_CENTR;FRIC_GLOT_UNV,0,,
kunb1251,,Kunbarlang,Gunwinyguan | Gunwinygic | Kunbarlang,Kunbarlang,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,133.916414,-11.954152,,,mura1269,Most closely related & proximal (Evans 2003:33),,,,,,,,,,,,3 full data,1 to acquire,,,,,nothing in what's on glottolog (2016-12-26),,,,,,,,,,,,,,,,,
gaga1251,,Gaagudju,Gunwinyguan | Kaakadju,Gaagudju,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,132.651993,-12.426624,,,umbu1235,Geographic proximity,,,,,,,,,,,,3 full data,1 to acquire,95,,Harvey 2002,,Harvey 2002,harvey_grammar_2002,5745,FALSE,,,2,PAL,0,1,0,0,5,2,0,0,,
ngal1293,,Ngalakgan,Gunwinyguan | Ngalakgan,Ngalakgan,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,134.289205,-14.294892,,,self,,merlan_ngalakan_1983,published,CHIRILA/v1/mor83,,,CHIRILA/v1/mor83,baker_word_2008,Geminate stops normalized to fortis.,,,847,3 full data,8 to check,28,Ngalakan_99813_augmented_Merlan_1983.xml,Baker 2008,,Baker 2008,baker_word_2008,1123,FALSE,,Geminate stops phonemicized as fortis,2,PAL,1,2,P,0,5,1,0,0,,
ngan1295,,Ngandi,Gunwinyguan | Ngandi,Ngandi,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,135.150681,-14.023335,,,self,,heath_ngandi_1978,published,,,,,heath_ngandi_1978,,,,1001,3 full data,8 to check,74,Ngandi_162777_augmented_Heath_1978.xml,Heath 1978,,Heath 1978,heath_ngandi_1978,162777,FALSE,,dental nasal & lateral are marginal,2,2,1,2,P,0,5,2,0,V_MID_FR_LONG,,
kund1258,,Kundedjnjenghmi,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Gun-Dedjnjenghmi,Gun-Dedjnjenghmi,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,133.58307,-12.429457,,,gund1246,Most closely related (Evans 2003:19),,,,,,,,,,,,-1 under 150w,-1 under 150w,92,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,0,0,,
gund1246,,Kundjeyhmi,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Gun-djeihmi,Gun-Djeihmi,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,133.254389,-12.870471,,,self,,evans_bininj_2003,online,http://dx.doi.org/10.15144/PL-541,,,,evans_bininj_2003,,,,858,3 full data,8 to check,89,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,0,0,,
gune1238,,Kune,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Kune,Kune,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,134.181245,-12.652604,,,mura1269,Most closely related (Evans 2003:19),,,,,,,,,,,,-1 under 150w,-1 under 150w,94,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,V_HI_CENTR,0,,
mura1269,,Kuninjku,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Kuninjku,Kuninjku,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,134.223695,-12.383831,,,self,,evans_bininj_2003,online,http://dx.doi.org/10.15144/PL-541,,,,evans_bininj_2003,,,,860,3 full data,8 to check,93,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,0,0,,
guma1252,,Kunwinjku,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Kunwinjku,Kunwinjku,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,133.502745,-12.084205,,,self,,evans_bininj_2003,online,http://dx.doi.org/10.15144/PL-541,,,,evans_bininj_2003,,,,861,3 full data,8 to check,82,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,0,0,,
naia1238,,Manyallaluk Mayali,Gunwinyguan | no subgroup defined | Bininj Gun-wok | Mayalli,Mayali,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,133.023361,-13.250682,,,gund1246,Geographic proximity; co-dialect of Bininj Gun-wok (Evans 2003),,,,,,,,,,,,-1 under 150w,-1 under 150w,87,Bininj-Gun-wok_311644_augmented_Evans_2003.xml,Evans 2003,,Evans 2003,evans_bininj_2003,311644,FALSE,,,2,PAL,1,2,P,0,5,1,0,0,,
djau1244,,Jawoyn,Gunwinyguan | no subgroup defined | Jawoyn,Jawoyn,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,132.860985,-13.919553,,,self,,merlan_jawoyn-english_2005,published,,,,,harvey_initial_2003,,,,787,3 full data,8 to check,,,,Requested access to Jawoyn @ELAR: https://elar.soas.ac.uk/Record/MPI915236,Merlan&Jacq 2005,merlan_jawoyn-english_2005,38489,FALSE,Requested access to Jawoyn @ELAR: https://elar.soas.ac.uk/Record/MPI915236;  also asked for pdf of Dict from ANU,,2,PAL,1,2,P,0,5,1,0,0,,
remb1249,,Rembarrnga,Gunwinyguan | Rembarrnga,Rembarrnga,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,NPN,134.734329,-13.088409,,,self,,mckay_rembarrnga_2011,open in archive,,,,CHIRILA/not_released/ASED0607,mckay_rembarnga_2011,Geminate stops normalized to fortis.,,,935,3 full data,8 to check,191,Rembarnga_63573_augmented_McKay_2011.xml,"McKay 1975,80",Now 2011; exactly the same,McKay 2011,mckay_rembarnga_2011,63573,FALSE,,Geminate stops phonemicized as fortis,2,PAL,1,2,P,0,5,1,V_MID_CENTR,0,,
uwin1234,,Uwinymil,Gunwinyguan | Warrayic | Uwinymil,Uwinymil,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,131.764622,-13.001609,"<nothing> - a sketch by Mark Harvey was ""to appear"" in handbook vol 6",,wara1290,Most closely related (Harvey 2003),,,,,,,,,,,,3 full data,1 to acquire,,,,,<nothing>,,,,,,,,,,,,,,,,,
wara1290,,Warray,Gunwinyguan | Warrayic | Warray,Warray,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,131.126956,-13.169971,,,self,,harvey_warray_nodate,unknown,,,,,harvey_ngoni_1986,,,,924,3 full data,8 to check,155,,Harvey 1986,,Harvey 1986,harvey_ngoni_1986,94306,FALSE,,,1,PAL,0,2,P,0,5,1,0,RHO_GLIDE_API,,
0000wulwulam,wara1290,Warray,Gunwinyguan | Warrayic | Wulwulam,Wulwulam,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,131.633417,-13.36631,Near-unattested,Harvey 2003 Western GN,wara1290,Most closely related (Harvey 2003),,,,,,,,,,,,-1 under 150w,-1 under 150w,,,,,<unattested>,,,,,,,,,,,,,,,,,
nung1290,,Wubuy,Gunwinyguan | Wubuy,Wubuy,Non-PN,Non-PN,Gunwinyguan,Gunwinyguan,_other,_other,_other,_other,,,,,135.827478,-13.826677,,,self,,heath_nunggubuyu_1976,online,CHIRILA/v1/Nunggubuyu Flora Fauna,,,CHIRILA/v1/Nunggubuyu Flora Fauna,heath_functional_1984,"Morphophonemic w1, w2 represented as their phonemic realizations w,b,k.",,,1023,3 full data,8 to check,158,Nunggubuyu_145711_augmented_Heath_1984.xml,Heath 1984,,Heath 1984,heath_functional_1984,145711,FALSE,,"H84's morphophonemic w1, w2 represented as their phonemic realizations w,b,k",2,2,0,1,P,0,3,2,0,0,,"The morphophonemic w1, w2 of Heath 1984 are represented here as their phonemic realizations /w,b,k/."
amar1271,,Amurdak,Iwaidjan | Amaragic | Amurdak,Amurdak,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,NPN,132.875952,-11.915469,,,self,,handelsmann_towards_1991,thesis,,,,,handelsmann_towards_1991,Prelateralized stops normalized as flapped laterals.,,,857,3 full data,8 to check,249,Amurdak_84616_augmented_Handelsmann_1991.xml,Handelsmann 1991,,Handelsmann 1991; Mailhammer 2011,handelsmann_towards_1991,84616; 127797,FALSE,,Prelateralized stops represented as flapped laterals,2,PAL,0,1,0,0,3,1,LAT_ALV_LEN;LAT_RET_LEN;FRIC_VEL;VIBR_RET,0,,
marg1251,,Margu,Iwaidjan | Margic | Marrgu,Marrgu,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,,132.41529,-11.278071,,,iwai1244,Geographic proximity,,,,,,,,,,,,3 full data,1 to acquire,53,,Evans 1998,,Evans 1998,evans_iwaidja_1988,46057,FALSE,,,2,2,0,1,D,0,3,1,LAT_ALV_LEN;LAT_RET_LEN;GLIDE_VEL;VIBR_RET,0,,
wurr1238,,Wurrugu,Iwaidjan | Margic | Wurrugu,Wurrugu,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,,132.126271,-11.32488,<14 words only>,Evans 1998,iwai1244,Geographic proximity,,,,,,,,,,,,-1 under 150w,-1 under 150w,70,,Evans 1998,,Evans 1998,evans_iwaidja_1988,46057,FALSE,,,2,PAL,0,1,P,0,3,1,LAT_ALV_LEN;LAT_RET_LEN;GLIDE_VEL;VIBR_RET,0,,
0000manangkari,maun1240,Mawng,Iwaidjan | Mawng | Manangkari,Manangkari,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,,,,small amount recorded by Nick,Singer 2006:7fn4,maun1240,Most closely related (Evans 1998),,,,,,,,,,,,0 uncertain existence,1 to acquire,,,,,,,,,,,,,,,,,,,,,,
maun1240,,Mawng,Iwaidjan | Mawng | Mawng,Mawng,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,NPN,133.361102,-11.815083,,,self,,singer_mawng_2015,online,mawngngaralk.org.au/main/dictionary.php,,,,singer_agreement_2006,,,,979,3 full data,8 to check,77,Mawng_134281_augmented_Singer_2006.xml,Teo 2007,,Singer 2006,singer_agreement_2006,134281,FALSE,,,2,PAL,0,1,P,0,5,1,FRIC_VEL,0,,
ilga1238,,Ilgar,Iwaidjan | Warrkbi | Garig-Ilgar,Ilgar,Non-PN,Non-PN,Iwaidjan,Iwaidjan,_other,_other,_other,_other,,,,,132.90217,-11.083534,,,iwai1244,Most closely related (Evans 1998),,,,,,,,,,,,3 full data,1 to acquire,64,,Evans 1998,,Evans 1998,evans_iwaidja_1988,46057,FALSE,,,2,PAL,0,1,0,0,3,1,LAT_ALV_LEN;LAT_RET_LEN;GLIDE_VEL;VIBR_RET,0,,
